label;raw_code;keyboard_code;comment
esc;0xDF;KEY_ESC;OK
F1;0xDD;KEY_F1;OK
F2;0xDC;KEY_F2;OK
F3;0xDB;KEY_F3;OK
F4;0xDA;KEY_F4;OK
F5;0xD9;KEY_F5;OK
F6;0xD7;KEY_F6;OK
F7;0xD5;KEY_F7;OK
F8;0xD4;KEY_F8;OK
F9;0xD3;KEY_F9;OK
F10;0xD2;KEY_F10;OK
help;0xD1;;not used
tild;0xCF;`;OK
!;0xCE;1;OK
'"';0xCD;2;OK
£;0xCC;3;OK
£;0xCB;4;OK
%;0xCA;5;OK
^;0xC9;6;OK
&;0xC8;7;OK
*;0xC7;8;OK
(;0xC6;9;OK
);0xC5;0;OK
_;0xC4;-;KO ()/°)
+;0xC3;=;OK
|;0xC2;\\;KO
backspace;0x72;KEY_BACKSPACE;OK
del;0x92;KEY_DELETE;K
tab;0xBF;KEY_TAB;OK pour min, not shift
q;0xBE;q;OK
w;0xBD;z;OK
e;0xBC;e;OK
r;0xBB;r;OK
t;0xBA;t;OK
y;0xB9;y;OK
u;0xB8;u;OK
i;0xB7;i;OK
o;0xB6;o;OK
p;0xB5;p;OK
{;0xB4;[;KO (^/¨)
};0xB3;];KO ($/£)
enter;0xB2;KEY_RETURN;OK
ctrl;0x30;KEY_LEFT_CTRL;
caps locks;0x9F;KEY_CAPS_LOCK;OK
a;0x9E;a;OK
s;0x9D;s;OK
d;0x9C;d;OK
f;0x9B;f;OK
g;0x9A;g;OK
h;0x99;h;OK
j;0x98;j;OK
k;0x97;k;OK
l;0x96;l;OK
:;0x95;0x59;TO BE FIXED
@;0x94;*;TO BE FIXED
void right;0x93;;not used
shift left;0x20;KEY_LEFT_SHIFT;OK
void left;0x7F;;not used
z;0x7e;z;OK
x;0x7D;x;OK
c;0x7C;c;OK
v;0x7B;v;OK
b;0x7A;b;OK
n;0x79;n;OK
m;0x78;0x59;TO BE FIXED
<;0x77;<;TO BE FIXED
>;0x76;>;TO BE FIXED
?;0x75;,;TO BE FIXED
shift right;0x80;KEY_RIGHT_SHIFT;OK
arrow up;0xC1;KEY_UP_ARROW;OK
alt left;0x10;KEY_LEFT_ALT;OK
amiga left;0x00;;not used
space;0x73;0x20;OK
amiga right;0x40;;not used
alt right;0x60;KEY_RIGHT_ALT;ALTGR, OK
left arrow;0xB1;KEY_LEFT_ARROW;OK
down arrow;0x71;KEY_DOWN_ARROW;OK
right arrow;0x91;KEY_RIGHT_ARROW;OK
